District,Commodity,Season,Qty(MTs),No of Farmers,Amount(Rs)
ANANTHAPUR,Maize,Kharif-2020,276644.5,6762,451162275
ANANTHAPUR,Redgram,Kharif-2020,679.5,62,4029000
ANANTHAPUR,Jowar,Rabi 2020-21,2688.5,127,4973725
ANANTHAPUR,Bengal gram,Rabi 2021-22,9333.5,681,48814205
ANANTHAPUR,Bajra,Kharif-2020,3193,173,5228800
ANANTHAPUR,Bengal gram,Rabi 2020-21,12101.5,1004,60672150
ANANTHAPUR,Groundnut in shell,Kharif-2020,2892.9,445,14688856.25
ANANTHAPUR,Korra,Kharif-2020,85.5,3,213750
ANANTHAPUR,Maize,Rabi 2020-21,103712,1920,191867200
ANANTHAPUR,Ragi,Kharif-2020,78,9,257010
ANANTHAPUR,Maize,Kharif-2021,20333.5,587,38023645
ANANTHAPUR,Bengal gram (Natural Farming),Rabi 2021-22,1334.5,72,7677378.5
BAPATLA,Turmeric Finger,Rabi 2021-22,399.7,28,2737945
BAPATLA,Turmeric Bulb,Rabi 2021-22,163.8,27,1122030
CHITTOOR,Bajra,Kharif-2020,41464,1992,87887700
CHITTOOR,Maize,Kharif-2020,2677,88,4448325
CHITTOOR,Maize,Rabi 2020-21,1311.5,56,2426275
CHITTOOR,Bajra,Kharif-2021,4239.5,159,9538875
EAST GODAVARI,Maize,Rabi 2020-21,48260,670,86769625
EAST GODAVARI,Jowar,Rabi 2020-21,15798.5,244,29227225
EAST GODAVARI,Maize,Kharif-2020,265,8,490250
EAST GODAVARI,Bengal gram,Rabi 2021-22,8868,446,46379640
GUNTUR,Maize,Kharif-2020,10657,189,17291025
GUNTUR,Bengal gram,Rabi 2021-22,45756,2323,239303880
GUNTUR,Green gram,Rabi 2021-22,6590.5,358,47945887.5
GUNTUR,Maize,Rabi 2020-21,358386.5,4888,663015025
GUNTUR,Bengal gram,Rabi 2020-21,1158,68,5905800
GUNTUR,Turmeric Finger,Rabi 2021-22,387.1,23,2651635
GUNTUR,Jowar,Rabi 2020-21,812391,13891,1502923350
GUNTUR,Turmeric Bulb,Rabi 2021-22,169.4,23,1160390
KRISHNA,Green gram,Kharif-2021,13102,816,95317050
KRISHNA,Jowar,Rabi 2020-21,23235.5,432,42985675
KRISHNA,Bengal gram,Rabi 2021-22,44533.5,2121,232910205
KRISHNA,Turmeric Bulb,Rabi 2021-22,1642.2,228,11249070
KRISHNA,Turmeric Finger,Rabi 2021-22,3633.7,243,24890845
KRISHNA,Bengal gram,Rabi 2020-21,349,15,1779900
KRISHNA,Maize,Kharif-2020,122191,2174,204939300
KRISHNA,Maize,Rabi 2020-21,625375.5,8906,1143289825
KRISHNA,Green gram,Rabi 2021-22,2403,145,17481825
KURNOOL,Bengal gram,Rabi 2020-21,23259,1388,117333150
KURNOOL,Korra,Kharif-2020,109,8,272500
KURNOOL,Maize,Kharif-2021,7270.5,113,13595835
KURNOOL,Bengal gram (Natural Farming),Rabi 2021-22,2374,174,13657622
KURNOOL,Maize,Kharif-2020,1232776.5,18614,1974545700
KURNOOL,Bajra,Kharif-2020,17468,1865,37420750
KURNOOL,Groundnut in shell,Kharif-2020,10225.5,1527,47779337.5
KURNOOL,Maize,Rabi 2020-21,229811.5,3534,425151275
KURNOOL,Jowar,Rabi 2020-21,301017,6426,771051175
KURNOOL,Bajra,Kharif-2021,1152.5,78,2593125
KURNOOL,Bengal gram,Rabi 2021-22,152890,9075,799614700
NANDYAL,Turmeric Finger,Rabi 2021-22,8222.9,482,56326865
NANDYAL,Turmeric Bulb,Rabi 2021-22,3413.9,440,23385215
NANDYAL,Jowar (HC),Rabi 2021-22,96072,1776,263045136
NTR,Turmeric Finger,Rabi 2021-22,2298.8,203,15746780
NTR,Turmeric Bulb,Rabi 2021-22,1101.8,197,7547330
PALNADU,Turmeric Finger,Rabi 2021-22,409.5,27,2805075
PALNADU,Turmeric Bulb,Rabi 2021-22,171.5,24,1174775
PRAKASAM,Bengal gram,Rabi 2021-22,286310,16820,1497401300
PRAKASAM,Bajra,Kharif-2020,98416,5475,203954375
PRAKASAM,Bengal gram (Natural Farming),Rabi 2021-22,8165,521,46618128
PRAKASAM,Maize,Rabi 2020-21,290252.5,4200,527274050
PRAKASAM,Bajra,Kharif-2021,30608.5,1307,68869125
PRAKASAM,Turmeric Bulb,Rabi 2021-22,119.7,14,819945
PRAKASAM,Turmeric Finger,Rabi 2021-22,291.9,14,1999515
PRAKASAM,Bengal gram,Rabi 2020-21,11070,688,56324400
PRAKASAM,Jowar,Rabi 2020-21,6899,205,12763150
PRAKASAM,Bajra,Kharif-2022,13359,521,31393650
SPSR NELLORE,Maize,Rabi 2020-21,4507,94,8337950
SPSR NELLORE,Bengal gram,Rabi 2021-22,57085.5,3228,298557165
SPSR NELLORE,Jowar (HC),Rabi 2021-22,262,3,717356
SPSR NELLORE,Green gram,Rabi 2019-20,73.5,6,518175
SPSR NELLORE,Jowar,Rabi 2020-21,14159,458,26194150
SPSR NELLORE,Turmeric Finger,Rabi 2021-22,1925,146,13186250
SPSR NELLORE,Bajra,Kharif-2020,15740.5,491,32962725
SPSR NELLORE,Bajra,Kharif-2022,3400.5,108,7991175
SPSR NELLORE,Turmeric Bulb,Rabi 2021-22,947.1,144,6487635
SPSR NELLORE,Bengal gram,Rabi 2020-21,18603.5,910,94867650
SPSR NELLORE,Bajra,Kharif-2021,3770.5,215,8483625
SRIKAKULAM,Maize,Rabi 2020-21,355527.5,7789,657087625
SRIKAKULAM,Maize,Kharif-2020,123522,5982,225275425
VISAKHAPATNAM,Ragi,Kharif-2020,1043.5,202,3438332.5
VISAKHAPATNAM,Ragi,Kharif-2021,1100,183,3714700
VISAKHAPATNAM,Maize,Rabi 2020-21,20661,563,38222850
VIZIANAGARAM,Maize,Kharif-2020,206721,6947,367660675
VIZIANAGARAM,Maize,Rabi 2020-21,466271,9478,857672025
WEST GODAVARI,Maize,Rabi 2020-21,495308,4838,916319800
YSR,Bengal gram (Natural Farming),Rabi 2021-22,1167.5,160,6716627.5
YSR,Groundnut in shell,Kharif-2020,1370.1,193,7003925
YSR,Maize,Rabi 2020-21,626,17,1158100
YSR,Turmeric Finger,Rabi 2021-22,86.1,6,589785
YSR,Bajra,Kharif-2021,2022.5,89,4550625
YSR,Jowar,Rabi 2020-21,21228,783,39271800
YSR,Bajra,Kharif-2020,28491,1377,60667625
YSR,Maize,Kharif-2020,2201,85,4001550
YSR,Bengal gram,Rabi 2020-21,16110,1215,81515850
YSR,Bengal gram,Rabi 2021-22,99117.5,6027,518384525
YSR,Turmeric Bulb,Rabi 2021-22,16.8,3,115080
